Entity,	Year,	share_of_global_production
Brazil,	2020,	1.91
Brazil,	2021,	2.07
Brazil,	2022,	2.08
Brazil,	2023,	2
Germany,	2020,	1.68
Germany,	2021,	1.93
Germany,	2022,	1.85
Germany,	2023,	1.69
India,	2020,	5.19
India,	2021,	5.78
India,	2022,	6.15
India,	2023,	6.69
Japan,	2020,	4.73
Japan,	2021,	5.19
Japan,	2022,	4.92
Japan,	2023,	4.85
Russia,	2020,	3.97
Russia,	2021,	4
Russia,	2022,	4
Russia,	2023,	4.15
South Korea,	2020,	3.43
South Korea,	2021,	3.41
South Korea,	2022,	3.23
South Korea,	2023,	3.38
Turkey,	2020,	0.76
Turkey,	2021,	0.74
Turkey,	2022,	0.69
Turkey,	2023,	0.85
United States,	2020,	1.37
United States,	2021,	1.63
United States,	2022,	1.54
United States,	2023,	1.62
